Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.df.gob.mx
timeStamp:,1994/01/01 al 1994/12/31		
average_interval: 001h		
date,id_station,id_parameter,value,unit
01/01/1994,VAL,SO2,16,1
01/01/1994,SUR,SO2,14,1
01/01/1994,TAC,SO2,14,1
01/01/1994,FAC,SO2,21,1
01/01/1994,LPR,SO2,10,1
01/01/1994,LVI,SO2,28,1
01/01/1994,SAG,SO2,19,1
01/01/1994,AZC,SO2,8,1
01/01/1994,TLA,SO2,22,1
01/01/1994,MER,SO2,23,1
01/01/1994,PED,SO2,6,1
01/01/1994,CES,SO2,8,1
01/01/1994,HAN,SO2,12,1
01/01/1994,ARA,SO2,24,1
01/01/1994,NET,SO2,13,1
02/01/1994,VAL,SO2,12,1
02/01/1994,SUR,SO2,9,1
02/01/1994,TAC,SO2,11,1
02/01/1994,FAC,SO2,17,1
02/01/1994,LVI,SO2,26,1
02/01/1994,SAG,SO2,12,1
02/01/1994,TLA,SO2,16,1
02/01/1994,MER,SO2,16,1
02/01/1994,CES,SO2,5,1
02/01/1994,HAN,SO2,8,1
02/01/1994,ARA,SO2,20,1
02/01/1994,NET,SO2,9,1
03/01/1994,VAL,SO2,16,1
03/01/1994,SUR,SO2,11,1
03/01/1994,TAC,SO2,15,1
03/01/1994,FAC,SO2,17,1
03/01/1994,LVI,SO2,29,1
03/01/1994,SAG,SO2,10,1
03/01/1994,AZC,SO2,7,1
03/01/1994,TLA,SO2,18,1
03/01/1994,MER,SO2,19,1
03/01/1994,PED,SO2,5,1
03/01/1994,CES,SO2,7,1
03/01/1994,HAN,SO2,14,1
03/01/1994,ARA,SO2,22,1
03/01/1994,NET,SO2,9,1
04/01/1994,VAL,SO2,16,1
04/01/1994,SUR,SO2,14,1
04/01/1994,TAC,SO2,20,1
04/01/1994,FAC,SO2,23,1
04/01/1994,LPR,SO2,13,1
04/01/1994,LVI,SO2,31,1
04/01/1994,SAG,SO2,13,1
04/01/1994,AZC,SO2,11,1
04/01/1994,TLA,SO2,19,1
04/01/1994,XAL,SO2,67,1
04/01/1994,MER,SO2,20,1
04/01/1994,CES,SO2,11,1
04/01/1994,HAN,SO2,11,1
04/01/1994,ARA,SO2,25,1
04/01/1994,NET,SO2,11,1
05/01/1994,VAL,SO2,23,1
05/01/1994,SUR,SO2,17,1
05/01/1994,TAC,SO2,26,1
05/01/1994,FAC,SO2,30,1
05/01/1994,LPR,SO2,16,1
05/01/1994,LVI,SO2,38,1
05/01/1994,SAG,SO2,11,1
05/01/1994,TLA,SO2,32,1
05/01/1994,MER,SO2,21,1
05/01/1994,PED,SO2,14,1
05/01/1994,CES,SO2,8,1
05/01/1994,HAN,SO2,12,1
05/01/1994,ARA,SO2,27,1
05/01/1994,NET,SO2,9,1
06/01/1994,VAL,SO2,25,1
06/01/1994,SUR,SO2,24,1
06/01/1994,TAC,SO2,34,1
06/01/1994,FAC,SO2,33,1
06/01/1994,LLA,SO2,15,1
06/01/1994,LPR,SO2,17,1
06/01/1994,LVI,SO2,44,1
06/01/1994,SAG,SO2,13,1
06/01/1994,AZC,SO2,19,1
06/01/1994,TLA,SO2,34,1
06/01/1994,XAL,SO2,24,1
06/01/1994,MER,SO2,32,1
06/01/1994,PED,SO2,15,1
06/01/1994,CES,SO2,16,1
06/01/1994,HAN,SO2,20,1
06/01/1994,ARA,SO2,30,1
06/01/1994,NET,SO2,10,1
07/01/1994,VAL,SO2,20,1
07/01/1994,SUR,SO2,14,1
07/01/1994,TAC,SO2,20,1
07/01/1994,FAC,SO2,22,1
07/01/1994,LLA,SO2,15,1
07/01/1994,LPR,SO2,13,1
07/01/1994,LVI,SO2,33,1
07/01/1994,SAG,SO2,9,1
07/01/1994,TLA,SO2,24,1
07/01/1994,XAL,SO2,22,1
07/01/1994,MER,SO2,22,1
07/01/1994,PED,SO2,6,1
07/01/1994,CES,SO2,9,1
