Pollutants
	city: Ciudad de M&eacute;xico,averages so2
	cityCode: MEX
	country: M&eacute;xico
	mesurementAgency: SIMAT
	URL: http://www.aire.df.gob.mx
	timeStamp: 2013/01/01 al 2013/12/31
	average_interval: 001h
	date,"id_station",id_parameter,value,unit
01/01/2013,ACO,SO2,3,1
01/01/2013,ATI,SO2,5,1
01/01/2013,CAM,SO2,8,1
01/01/2013,CHO,SO2,3,1
01/01/2013,CUA,SO2,2,1
01/01/2013,FAC,SO2,5,1
01/01/2013,HGM,SO2,4,1
01/01/2013,IZT,SO2,5,1
01/01/2013,LLA,SO2,6,1
01/01/2013,LPR,SO2,3,1
01/01/2013,MER,SO2,4,1
01/01/2013,NEZ,SO2,2,1
01/01/2013,PED,SO2,2,1
01/01/2013,SFE,SO2,1,1
01/01/2013,SJA,SO2,6,1
01/01/2013,SUR,SO2,4,1
01/01/2013,TAH,SO2,5,1
01/01/2013,TLA,SO2,6,1
01/01/2013,TLI,SO2,9,1
01/01/2013,TPN,SO2,1,1
01/01/2013,UAX,SO2,2,1
01/01/2013,UIZ,SO2,3,1
01/01/2013,VIF,SO2,6,1
01/01/2013,XAL,SO2,6,1
02/01/2013,ACO,SO2,2,1
02/01/2013,ATI,SO2,7,1
02/01/2013,CAM,SO2,11,1
02/01/2013,CHO,SO2,2,1
02/01/2013,CUA,SO2,4,1
02/01/2013,FAC,SO2,7,1
02/01/2013,HGM,SO2,7,1
02/01/2013,IZT,SO2,8,1
02/01/2013,LLA,SO2,6,1
02/01/2013,LPR,SO2,4,1
02/01/2013,MER,SO2,9,1
02/01/2013,NEZ,SO2,5,1
02/01/2013,PED,SO2,3,1
02/01/2013,SFE,SO2,3,1
02/01/2013,SJA,SO2,10,1
02/01/2013,SUR,SO2,6,1
02/01/2013,TAH,SO2,3,1
02/01/2013,TLA,SO2,12,1
02/01/2013,TLI,SO2,15,1
02/01/2013,TPN,SO2,2,1
02/01/2013,UAX,SO2,4,1
02/01/2013,UIZ,SO2,8,1
02/01/2013,VIF,SO2,11,1
02/01/2013,XAL,SO2,7,1
03/01/2013,ACO,SO2,3,1
03/01/2013,ATI,SO2,36,1
03/01/2013,CAM,SO2,30,1
03/01/2013,CHO,SO2,3,1
03/01/2013,CUA,SO2,11,1
03/01/2013,FAC,SO2,37,1
03/01/2013,HGM,SO2,28,1
03/01/2013,IZT,SO2,18,1
03/01/2013,LLA,SO2,31,1
03/01/2013,LPR,SO2,8,1
03/01/2013,MER,SO2,20,1
03/01/2013,NEZ,SO2,19,1
03/01/2013,PED,SO2,5,1
03/01/2013,SFE,SO2,8,1
03/01/2013,SJA,SO2,14,1
03/01/2013,SUR,SO2,15,1
03/01/2013,TAH,SO2,8,1
03/01/2013,TLA,SO2,38,1
03/01/2013,TLI,SO2,38,1
03/01/2013,TPN,SO2,4,1
03/01/2013,UAX,SO2,10,1
03/01/2013,UIZ,SO2,13,1
03/01/2013,VIF,SO2,48,1
03/01/2013,XAL,SO2,17,1
04/01/2013,ACO,SO2,8,1
04/01/2013,ATI,SO2,33,1
04/01/2013,CAM,SO2,35,1
04/01/2013,CHO,SO2,5,1
04/01/2013,CUA,SO2,21,1
04/01/2013,FAC,SO2,35,1
04/01/2013,HGM,SO2,54,1
04/01/2013,IZT,SO2,51,1
04/01/2013,LLA,SO2,60,1
04/01/2013,LPR,SO2,19,1
04/01/2013,MER,SO2,45,1
04/01/2013,NEZ,SO2,36,1
04/01/2013,PED,SO2,9,1
04/01/2013,SFE,SO2,18,1
04/01/2013,SJA,SO2,29,1
04/01/2013,SUR,SO2,49,1
04/01/2013,TAH,SO2,14,1
04/01/2013,TLA,SO2,44,1
04/01/2013,TLI,SO2,62,1
04/01/2013,TPN,SO2,12,1
04/01/2013,UAX,SO2,29,1
04/01/2013,UIZ,SO2,39,1
04/01/2013,VIF,SO2,66,1
04/01/2013,XAL,SO2,34,1
05/01/2013,ACO,SO2,6,1
05/01/2013,ATI,SO2,14,1
05/01/2013,CAM,SO2,18,1
05/01/2013,CHO,SO2,5,1
05/01/2013,CUA,SO2,12,1
05/01/2013,FAC,SO2,11,1
05/01/2013,HGM,SO2,21,1
05/01/2013,IZT,SO2,15,1
05/01/2013,LLA,SO2,15,1
05/01/2013,LPR,SO2,8,1
05/01/2013,MER,SO2,17,1
05/01/2013,NEZ,SO2,10,1
05/01/2013,PED,SO2,5,1
05/01/2013,SFE,SO2,8,1
05/01/2013,SJA,SO2,12,1
