Pollutants
	city: Ciudad de M&eacute;xico,averages so2
	cityCode: MEX
	country: M&eacute;xico
	mesurementAgency: SIMAT
	URL: http://www.aire.df.gob.mx
	timeStamp: 2019/01/01 al 2019/03/15
	average_interval: 001h
	date,"id_station",id_parameter,value,unit
01/01/2019,ACO,SO2,2,1
01/01/2019,ATI,SO2,9,1
01/01/2019,CAM,SO2,8,1
01/01/2019,MON,SO2,2,1
01/01/2019,CHO,SO2,2,1
01/01/2019,CUA,SO2,5,1
01/01/2019,CUT,SO2,11,1
01/01/2019,HGM,SO2,8,1
01/01/2019,IZT,SO2,5,1
01/01/2019,LLA,SO2,5,1
01/01/2019,LPR,SO2,3,1
01/01/2019,MER,SO2,7,1
01/01/2019,NEZ,SO2,4,1
01/01/2019,PED,SO2,2,1
01/01/2019,SAG,SO2,5,1
01/01/2019,SFE,SO2,3,1
01/01/2019,TAH,SO2,1,1
01/01/2019,TLA,SO2,11,1
01/01/2019,UAX,SO2,2,1
01/01/2019,UIZ,SO2,3,1
01/01/2019,VIF,SO2,8,1
01/01/2019,XAL,SO2,4,1
01/01/2019,CCA,SO2,3,1
01/01/2019,MGH,SO2,7,1
01/01/2019,AJM,SO2,3,1
01/01/2019,MPA,SO2,1,1
01/01/2019,BJU,SO2,4,1
01/01/2019,INN,SO2,2,1
02/01/2019,ACO,SO2,2,1
02/01/2019,ATI,SO2,6,1
02/01/2019,CAM,SO2,9,1
02/01/2019,MON,SO2,1,1
02/01/2019,CHO,SO2,1,1
02/01/2019,CUA,SO2,4,1
02/01/2019,CUT,SO2,8,1
02/01/2019,HGM,SO2,8,1
02/01/2019,IZT,SO2,6,1
02/01/2019,LLA,SO2,19,1
02/01/2019,LPR,SO2,8,1
02/01/2019,MER,SO2,10,1
02/01/2019,NEZ,SO2,7,1
02/01/2019,PED,SO2,4,1
02/01/2019,SAG,SO2,16,1
02/01/2019,SFE,SO2,3,1
02/01/2019,TAH,SO2,2,1
02/01/2019,TLA,SO2,10,1
02/01/2019,UAX,SO2,3,1
02/01/2019,UIZ,SO2,4,1
02/01/2019,VIF,SO2,36,1
02/01/2019,XAL,SO2,11,1
02/01/2019,CCA,SO2,4,1
02/01/2019,MGH,SO2,5,1
02/01/2019,AJM,SO2,5,1
02/01/2019,MPA,SO2,3,1
02/01/2019,BJU,SO2,4,1
02/01/2019,INN,SO2,2,1
03/01/2019,ACO,SO2,2,1
03/01/2019,ATI,SO2,7,1
03/01/2019,CAM,SO2,5,1
03/01/2019,MON,SO2,1,1
03/01/2019,CHO,SO2,2,1
03/01/2019,CUA,SO2,7,1
03/01/2019,CUT,SO2,8,1
03/01/2019,FAC,SO2,5,1
03/01/2019,HGM,SO2,2,1
03/01/2019,IZT,SO2,3,1
