INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.df.gob.mx
timeStamp:	1997/01/01 al 1997/12/31
average_interval: 001h
Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10
01/01/1997,7,20,8,15,41,71,27,18,14,50,88,27,15,17,45,99,16,8,10,16,77,19,14,15,65,103
01/01/1997,8,20,8,13,49,71,21,18,13,52,90,33,15,19,43,103,14,8,14,15,79,17,14,15,62,111
01/01/1997,9,15,8,16,52,71,19,18,16,50,90,28,15,22,46,107,11,7,17,16,78,16,14,21,60,117
01/01/1997,10,30,8,33,55,75,30,17,20,46,91,38,14,39,51,111,35,7,19,17,81,22,14,24,59,120
01/01/1997,11,67,9,38,52,78,66,17,21,41,93,77,13,40,57,116,67,8,24,17,85,48,14,27,56,121
01/01/1997,12,86,9,28,47,79,100,17,15,38,95,99,12,17,58,116,94,8,22,17,88,76,14,22,48,121
01/01/1997,13,117,9,16,42,79,83,17,10,34,95,85,12,11,58,114,110,8,15,17,89,75,14,16,39,121
01/01/1997,14,114,9,10,38,79,68,17,8,28,95,96,12,7,52,113,95,8,8,16,88,71,14,15,30,119
01/01/1997,15,91,9,7,35,78,43,16,9,25,95,107,12,10,52,113,126,8,9,16,87,75,14,16,25,118
01/01/1997,16,75,8,9,34,77,44,16,9,22,94,99,12,8,52,112,158,8,12,16,86,75,14,21,21,118
01/01/1997,17,61,8,9,35,78,41,16,12,20,93,76,12,7,51,112,108,8,10,14,85,59,14,24,21,117
01/01/1997,18,46,8,12,35,77,29,16,18,18,93,55,12,10,45,111,77,8,19,14,84,55,14,27,21,116
01/01/1997,19,15,8,30,34,76,17,16,23,18,92,25,12,24,38,110,24,8,32,14,83,30,13,34,24,113
01/01/1997,20,9,9,28,32,77,20,16,14,17,93,18,12,32,33,109,15,7,30,14,83,15,14,34,28,113
01/01/1997,21,9,9,26,30,82,8,15,13,18,92,17,12,19,29,111,12,8,30,15,83,13,14,30,34,114
02/01/1997,7,12,12,13,25,70,13,14,13,26,80,20,12,13,27,85,19,8,10,10,74,15,14,19,36,78
02/01/1997,8,14,13,14,26,70,17,14,14,26,75,23,12,14,43,83,19,8,15,10,73,15,14,16,40,70
02/01/1997,9,13,13,20,29,71,28,15,32,31,69,25,13,20,52,77,26,8,20,17,72,26,14,23,43,62
02/01/1997,10,25,14,33,32,70,38,16,30,32,66,25,14,29,44,72,31,8,38,20,71,35,15,45,46,61
02/01/1997,11,43,15,41,35,68,49,16,22,32,63,44,15,36,45,67,55,8,52,26,69,62,15,43,46,61
02/01/1997,12,83,15,47,37,68,61,17,19,33,62,74,15,27,44,66,95,8,39,26,67,79,15,41,49,61
02/01/1997,13,112,15,32,38,66,85,17,16,33,63,85,15,16,42,66,95,8,23,25,65,102,15,20,49,62
02/01/1997,14,85,15,20,38,65,88,17,12,31,62,105,15,12,42,66,95,8,16,26,65,93,15,23,47,63
02/01/1997,15,66,15,12,38,65,75,18,15,29,63,117,15,13,42,67,116,8,17,27,64,67,15,26,41,63
02/01/1997,16,86,16,13,34,66,75,18,14,24,64,101,16,18,41,67,124,8,16,25,63,69,15,21,36,65
02/01/1997,17,99,16,17,28,66,69,18,10,18,66,70,16,20,39,69,84,8,13,20,68,32,15,18,30,67
02/01/1997,18,43,16,23,28,72,55,18,13,17,69,65,16,28,38,71,60,8,15,17,67,26,15,19,25,68
02/01/1997,19,14,17,29,28,73,18,18,14,15,68,25,17,32,38,71,50,8,25,16,67,28,15,23,24,70
02/01/1997,20,35,16,32,28,74,16,18,17,15,68,21,15,38,39,72,47,8,32,16,66,33,15,28,25,70
02/01/1997,21,48,17,38,28,72,21,19,14,15,66,31,15,34,39,71,33,8,23,16,66,33,15,30,26,70
03/01/1997,7,15,15,19,36,77,11,22,18,41,79,22,17,18,40,75,17,8,13,13,70,6,13,14,19,74
03/01/1997,8,15,15,21,39,78,11,22,22,44,81,27,17,19,43,75,28,8,19,13,71,18,13,14,21,74
03/01/1997,9,16,15,34,44,78,11,22,37,49,85,27,17,25,49,76,25,8,21,14,70,19,12,19,21,75
03/01/1997,10,27,14,60,46,77,16,22,40,52,88,36,17,46,57,77,28,8,29,18,69,16,12,52,31,76
03/01/1997,11,65,14,77,46,77,51,22,26,50,90,54,17,50,61,79,54,7,30,20,68,40,12,60,33,77
03/01/1997,12,102,14,61,47,76,81,22,19,49,90,82,16,32,62,78,88,7,35,22,68,69,12,48,33,77
03/01/1997,13,93,13,26,47,78,101,22,21,49,92,95,16,14,58,79,122,7,29,24,71,70,12,21,33,72
03/01/1997,14,103,13,22,46,80,120,22,17,48,93,129,16,25,57,80,147,7,26,26,73,92,12,28,34,73
