INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.df.gob.mx
timeStamp:	1999/01/01 al 1999/12/31
average_interval: 001h
FECHA,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10
01/01/1999,1,12,15,18,50,64,12,16,20,54,96,15,12,38,46,69,61,17,15,49,60,37,20,30,46,72
01/01/1999,2,15,15,18,52,64,11,16,20,57,101,12,12,22,45,69,31,17,7,49,60,30,20,22,46,72
01/01/1999,3,18,15,17,49,64,11,15,18,57,106,9,12,20,44,68,32,17,6,45,59,19,20,21,42,71
01/01/1999,4,23,15,15,47,64,12,15,16,57,107,8,12,20,41,68,32,17,5,41,59,26,21,17,41,71
01/01/1999,5,17,15,15,47,64,11,15,16,55,112,13,12,19,37,68,29,17,6,35,59,23,21,17,38,71
01/01/1999,6,12,15,15,43,64,10,15,16,51,118,14,12,18,34,67,29,17,7,30,59,19,21,16,36,71
01/01/1999,7,11,15,17,40,64,8,15,15,47,123,11,12,17,30,67,29,17,7,27,59,15,21,20,37,70
01/01/1999,8,12,15,24,45,67,15,16,17,45,128,15,12,22,27,68,32,16,11,24,60,19,21,20,33,72
01/01/1999,9,16,15,34,50,69,10,17,25,37,130,15,12,32,27,69,30,17,10,23,61,25,21,18,25,74
01/01/1999,10,36,15,45,52,70,21,18,30,36,131,30,11,27,27,69,51,16,9,23,62,37,20,24,25,74
01/01/1999,11,67,15,29,52,71,56,18,16,34,132,62,11,30,27,69,71,15,6,22,61,68,18,29,25,73
01/01/1999,12,85,15,20,51,72,75,18,9,33,130,82,11,14,25,68,90,15,6,22,60,77,17,16,25,71
01/01/1999,13,96,15,10,49,71,74,17,6,32,129,77,11,9,25,66,85,15,4,22,59,65,16,11,25,70
01/01/1999,14,93,15,9,47,70,75,17,5,31,128,72,10,8,26,66,72,15,3,21,59,60,16,11,24,69
01/01/1999,15,88,15,8,44,70,73,16,5,28,128,75,10,9,26,65,73,15,4,20,58,59,15,6,21,72
01/01/1999,16,75,14,5,34,70,53,16,7,21,133,72,10,11,24,66,77,15,5,20,58,54,15,7,18,82
01/01/1999,17,54,14,5,29,71,47,15,8,19,135,49,10,10,24,67,75,15,5,19,57,54,15,7,17,86
01/01/1999,18,50,13,5,26,71,42,15,8,18,136,38,10,12,23,69,55,15,6,18,58,55,14,7,16,88
01/01/1999,19,41,12,8,25,70,34,15,11,16,135,32,9,11,22,69,54,15,3,19,56,50,13,9,14,86
01/01/1999,20,37,12,7,24,68,29,15,12,16,130,24,9,15,22,66,53,15,5,20,55,45,12,13,13,83
01/01/1999,21,39,12,10,24,67,28,15,13,17,124,18,8,16,21,64,52,15,8,22,53,45,12,12,13,82
01/01/1999,22,36,12,7,24,66,19,15,13,19,121,19,8,16,21,63,43,15,6,23,51,36,11,11,13,80
01/01/1999,23,34,12,10,24,65,18,15,13,20,119,21,8,17,21,62,39,15,9,25,51,38,10,17,15,78
01/01/1999,24,34,12,11,25,63,19,15,13,22,117,16,8,18,21,61,26,15,10,28,49,39,9,21,17,75
02/01/1999,1,35,11,11,25,61,19,14,10,23,112,14,8,19,21,60,22,15,10,29,47,37,8,21,21,72
02/01/1999,2,35,11,12,25,60,21,14,9,23,106,12,8,18,22,60,21,14,9,29,47,37,8,19,24,71
02/01/1999,3,37,10,12,25,60,20,13,8,23,100,22,8,16,22,59,25,14,9,29,47,37,9,17,26,71
02/01/1999,4,35,10,12,25,59,23,13,5,22,97,15,8,16,23,59,25,14,8,28,47,35,9,17,28,71
02/01/1999,5,37,10,10,24,58,25,12,5,21,92,13,8,15,23,59,32,13,4,26,46,35,9,15,29,71
02/01/1999,6,34,9,9,23,58,23,12,5,20,85,8,8,15,23,58,40,13,5,25,46,31,9,16,31,70
