Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.df.gob.mx
timeStamp:,1997/01/01 al 1997/12/31		
average_interval: 001h		
date,id_station,id_parameter,value,unit
01/01/1997,LVI,PM10,79,2
01/01/1997,TLA,PM10,110,2
01/01/1997,XAL,PM10,130,2
01/01/1997,MER,PM10,167,2
01/01/1997,PED,PM10,117,2
01/01/1997,CES,PM10,172,2
02/01/1997,LVI,PM10,57,2
02/01/1997,TLA,PM10,98,2
02/01/1997,XAL,PM10,91,2
02/01/1997,MER,PM10,93,2
02/01/1997,PED,PM10,82,2
02/01/1997,CES,PM10,92,2
03/01/1997,LVI,PM10,94,2
03/01/1997,TLA,PM10,102,2
03/01/1997,XAL,PM10,145,2
03/01/1997,MER,PM10,113,2
03/01/1997,PED,PM10,93,2
03/01/1997,CES,PM10,97,2
04/01/1997,LVI,PM10,55,2
04/01/1997,TLA,PM10,77,2
04/01/1997,XAL,PM10,124,2
04/01/1997,MER,PM10,86,2
04/01/1997,PED,PM10,75,2
04/01/1997,CES,PM10,100,2
05/01/1997,LVI,PM10,73,2
05/01/1997,TLA,PM10,82,2
05/01/1997,XAL,PM10,101,2
05/01/1997,MER,PM10,105,2
05/01/1997,PED,PM10,70,2
05/01/1997,CES,PM10,88,2
06/01/1997,LVI,PM10,56,2
06/01/1997,TLA,PM10,75,2
06/01/1997,XAL,PM10,122,2
06/01/1997,MER,PM10,75,2
06/01/1997,PED,PM10,54,2
06/01/1997,CES,PM10,82,2
07/01/1997,LVI,PM10,72,2
07/01/1997,TLA,PM10,83,2
07/01/1997,XAL,PM10,137,2
07/01/1997,MER,PM10,91,2
07/01/1997,PED,PM10,57,2
07/01/1997,CES,PM10,124,2
08/01/1997,TLA,PM10,55,2
08/01/1997,XAL,PM10,55,2
08/01/1997,MER,PM10,43,2
08/01/1997,PED,PM10,34,2
08/01/1997,CES,PM10,97,2
09/01/1997,LVI,PM10,31,2
09/01/1997,TLA,PM10,62,2
09/01/1997,XAL,PM10,62,2
09/01/1997,MER,PM10,50,2
09/01/1997,PED,PM10,45,2
09/01/1997,CES,PM10,25,2
10/01/1997,LVI,PM10,33,2
10/01/1997,TLA,PM10,44,2
10/01/1997,XAL,PM10,65,2
10/01/1997,MER,PM10,50,2
10/01/1997,PED,PM10,44,2
10/01/1997,CES,PM10,55,2
11/01/1997,LVI,PM10,28,2
11/01/1997,TLA,PM10,63,2
11/01/1997,XAL,PM10,97,2
11/01/1997,PED,PM10,56,2
11/01/1997,CES,PM10,45,2
12/01/1997,LVI,PM10,47,2
12/01/1997,TLA,PM10,76,2
12/01/1997,XAL,PM10,103,2
12/01/1997,PED,PM10,56,2
12/01/1997,CES,PM10,42,2
13/01/1997,LVI,PM10,70,2
13/01/1997,TLA,PM10,129,2
13/01/1997,XAL,PM10,158,2
13/01/1997,MER,PM10,133,2
13/01/1997,PED,PM10,94,2
13/01/1997,CES,PM10,61,2
14/01/1997,LVI,PM10,76,2
14/01/1997,TLA,PM10,135,2
14/01/1997,XAL,PM10,167,2
14/01/1997,MER,PM10,141,2
14/01/1997,PED,PM10,111,2
14/01/1997,CES,PM10,56,2
15/01/1997,LVI,PM10,51,2
15/01/1997,TLA,PM10,84,2
15/01/1997,XAL,PM10,95,2
15/01/1997,MER,PM10,80,2
15/01/1997,PED,PM10,61,2
15/01/1997,CES,PM10,42,2
16/01/1997,LVI,PM10,75,2
16/01/1997,TLA,PM10,133,2
16/01/1997,XAL,PM10,139,2
16/01/1997,MER,PM10,118,2
16/01/1997,PED,PM10,82,2
16/01/1997,CES,PM10,65,2
17/01/1997,LVI,PM10,76,2
17/01/1997,TLA,PM10,185,2
17/01/1997,XAL,PM10,156,2
17/01/1997,MER,PM10,149,2
17/01/1997,PED,PM10,146,2
17/01/1997,CES,PM10,62,2
18/01/1997,LVI,PM10,104,2
18/01/1997,TLA,PM10,198,2
18/01/1997,XAL,PM10,149,2
18/01/1997,MER,PM10,204,2
18/01/1997,PED,PM10,147,2
18/01/1997,CES,PM10,82,2
19/01/1997,LVI,PM10,84,2
19/01/1997,TLA,PM10,162,2
19/01/1997,XAL,PM10,143,2
19/01/1997,MER,PM10,142,2
19/01/1997,PED,PM10,134,2
19/01/1997,CES,PM10,64,2
20/01/1997,LVI,PM10,55,2
20/01/1997,TLA,PM10,95,2
20/01/1997,XAL,PM10,130,2
20/01/1997,MER,PM10,85,2
20/01/1997,PED,PM10,63,2
20/01/1997,CES,PM10,57,2
21/01/1997,LVI,PM10,61,2
21/01/1997,TLA,PM10,126,2
21/01/1997,XAL,PM10,153,2
21/01/1997,MER,PM10,101,2
21/01/1997,PED,PM10,71,2
