,date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL
0,26/12/2011,0.8000192,,8.746479542,0.07381419,2.395691588,,2.958195764,,1.003895113,,8.825412682,,6.183033242,0.025365516,10.75962987,,2.626010193,,2.460165815,0.121112159,10.15259069,0.081049394,5.800169655,,8.849728839,0.081687311,5.464448593,,10.29810679,0.069132033,3.125503386,,,
1,27/12/2011,2.666730668,,9.246278373,0.036907095,1.437414953,,2.465163136,0.048543269,1.50584267,,10.13983585,,5.06665224,,10.50344821,,2.735427285,,0.410027636,,9.329407665,,5.800169655,,5.254526498,0.040843656,6.498263191,,9.361915261,,5.770160098,,,
2,28/12/2011,1.866711468,0.039384359,7.996781296,0.036907095,0.958276635,,2.136474718,0.024271635,,,12.76868218,,5.667780471,0.012682758,9.478721551,,3.008970013,0.016159569,,,9.603802008,0.040524697,7.250212069,,4.424864419,,6.350575392,,9.830011024,0.034566017,2.644656712,,,
3,29/12/2011,0.4000096,,8.996378957,0.07381419,0.718707476,,3.6155726,0.024271635,,,9.200962158,,6.354784165,0.012682758,8.197813233,0.075669812,2.79013583,0.008079785,3.280221087,,7.95743595,,5.075148448,,4.701418446,0.040843656,5.464448593,,11.23429831,0.034566017,,,,
4,30/12/2011,0.4000096,,12.49497077,0.036907095,0.479138318,,3.122539973,0.048543269,0.501947557,,5.257692662,,5.410154086,0.025365516,11.52817486,,3.337221287,0.008079785,0.820055272,,6.859858577,,7.250212069,,4.424864419,0.081687311,4.578321794,0.043623372,7.489532208,,,,,
5,31/12/2011,0.133336533,,9.496177788,0.036907095,1.437414953,,,,,,7.886538992,,2.576263851,0.012682758,3.330361626,,1.531839279,0.016159569,1.230082908,,2.469549088,,6.525190862,,1.382770131,,3.839882795,0.021811686,2.340478815,0.069132033,,,,
6,02/01/2012,0.933355734,,14.99396493,0.07381419,0.718707476,,2.136474718,0.024271635,0.501947557,,9.764286371,,5.06665224,0.012682758,7.94163157,0.037834906,3.446638379,,2.870193451,,8.780618979,,7.250212069,,2.765540262,,3.544507195,,7.957627972,,,,,
7,03/01/2012,1.200028801,,13.74446785,0.036907095,0.958276635,,2.958195764,0.024271635,0.501947557,,9.576511634,,3.778520314,0.025365516,9.991084878,,2.79013583,,3.280221087,,8.231830293,0.040524697,3.625106034,0.107076787,4.148310393,0.040843656,4.135258395,,7.72358009,0.034566017,,,,
8,04/01/2012,1.333365334,,7.74688188,0.036907095,1.676984112,,2.136474718,0.024271635,1.50584267,,13.33200639,0.055464076,5.753655933,0.012682758,3.842724953,,3.008970013,,2.460165815,,8.231830293,0.081049394,9.425275689,0.107076787,6.360742603,0.040843656,5.612136393,0.043623372,9.830011024,0.034566017,,,,
9,05/01/2012,1.200028801,,12.74487019,0.036907095,2.156122429,,1.8077863,0.048543269,,,6.008791613,,4.637274931,,8.71017656,,2.352467465,0.008079785,2.460165815,,4.939098176,0.040524697,2.900084827,,3.595202341,0.040843656,4.430633994,0.021811686,5.851197038,0.034566017,,,,
